"time","loss","layer_0.max_depth","layer_0.min_data_in_leaf","layer_0.boosting_rounds","layer_1.input_window","layer_0.num_leaves","layer_1.min_data_in_leaf","layer_1.boosting_rounds","status","layer_1.learning_rate","layer_1.num_leaves","log","layer_0.bagging_fraction","layer_1.max_depth","layer_0.learning_rate","layer_0.input_window","error","layer_0.feature_fraction","trial"
"107.050479","0.29186099240907076","14.0","47.0","24.0","4.0","26.0","3.0","19.0","ok","0.03335840649049491","37.0","","0.5873798267955769","7.0","0.18473122152438318","2.0","","0.9466617706658984","15"
"102.71171","0.34136980169280323","11.0","26.0","35.0","3.0","38.0","8.0","10.0","ok","0.08456089521439777","19.0","","0.6545704896488846","3.0","0.37534413496594166","2.0","","0.5552202095186786","16"
"39.033122","0.1909039339857155","8.0","30.0","5.0","3.0","39.0","19.0","33.0","ok","0.0646315538677497","50.0","","0.466058770035664","5.0","0.0810952478346087","2.0","","0.5889639131871383","17"
"38.425921","0.15902201786580972","10.0","30.0","10.0","4.0","23.0","73.0","36.0","ok","0.15641003867431558","34.0","","0.28764292959524335","13.0","0.3255962469065999","0.0","","0.6208758241645516","18"
"54.606234","0.27698654305676723","10.0","54.0","29.0","4.0","47.0","9.0","5.0","ok","0.10227589923542843","20.0","","0.19617774936315863","11.0","0.2867758613972985","1.0","","0.7453980171953523","19"
"74.101414","0.17753674330176752","11.0","78.0","31.0","4.0","16.0","27.0","13.0","ok","0.09773015247207952","11.0","","0.4110257292453352","6.0","0.09213019626120827","1.0","","0.6296607474789169","20"
"96.895225","0.13504837064395658","13.0","52.0","34.0","3.0","44.0","35.0","33.0","ok","0.1298110545696098","34.0","","0.32904654239527953","11.0","0.1278517309349646","1.0","","0.6832535385706042","21"
"78.79114","0.28569721013114924","10.0","49.0","16.0","3.0","39.0","99.0","22.0","ok","0.016196479473176133","50.0","","0.7013110270154965","5.0","0.10480803760824353","2.0","","0.6059967018348114","22"
"65.868288","0.1992492514074136","15.0","72.0","38.0","4.0","13.0","91.0","27.0","ok","0.08556927931730177","49.0","","0.20119415148485134","14.0","0.17472532702166857","2.0","","0.9432307134131908","23"
"37.15594","0.25300672086469106","9.0","28.0","12.0","3.0","19.0","54.0","42.0","ok","0.026217403500114728","32.0","","0.24851532358731998","8.0","0.0882917329867299","1.0","","0.8584548020367577","24"
"28.860345","0.445121200484993","9.0","76.0","7.0","4.0","16.0","55.0","9.0","ok","0.011816803979923372","40.0","","0.476626268672522","13.0","0.3089398173158985","1.0","","0.6037251600198095","25"
"22.50184","0.2200672711296151","13.0","34.0","10.0","3.0","29.0","16.0","6.0","ok","0.14010292537357522","43.0","","0.2473966716744045","5.0","0.10072563743413203","1.0","","0.759117762984631","26"
"123.413396","0.23909241826944747","8.0","37.0","37.0","5.0","15.0","93.0","65.0","ok","0.026934701479629865","23.0","","0.3616497580941733","6.0","0.30189373211318016","3.0","","0.859767414243445","27"
"33.915188","0.18577128672620402","11.0","27.0","8.0","3.0","28.0","74.0","12.0","ok","0.11502696724474987","46.0","","0.8108024356852759","7.0","0.26938581585782556","1.0","","0.8123954744783988","28"
"48.444856","0.19698463976073843","13.0","71.0","26.0","4.0","19.0","42.0","6.0","ok","0.18459685863954572","31.0","","0.3526748621854485","15.0","0.3241323462845208","2.0","","0.6276869233628982","29"
