trial,status,loss,time,log,error,activation,layer1_layers,layer1_size,layer2_layers,layer2_size,layer3_layers,layer3_size,layer4_layers,layer4_size,learning_rate,weight_decay
105,ok,0.4296,688.594803,,,relu,2,80,2,64,1,192,2,384,1.5766091315945,0.001130827896595
106,ok,0.6769,825.805308,,,elu,2,32,1,96,2,192,2,640,2.3372307743796,5.66668043452762E-05
107,ok,0.4361,770.208244,,,rrelu,2,96,2,192,3,192,2,384,0.180374703180176,0.000217753272432
108,ok,0.4451,788.632126,,,relu,1,48,3,192,3,256,2,384,0.740115590778227,0.000718420629535
109,ok,0.4116,761.883196,,,rrelu,3,80,2,128,1,192,3,384,1.55018534903719,2.10529921852352E-05
110,ok,0.3973,627.895029,,,selu,3,32,2,96,2,128,1,256,0.548450852620607,2.00586928545504E-05
111,ok,0.4736,790.246735,,,relu,2,96,2,128,1,256,2,512,2.5823737622585,0.000154858234235
112,ok,0.6102,841.413055,,,rrelu,1,64,2,64,2,256,2,640,1.68644185782837,0.000104968885088
113,ok,0.4769,876.37986,,,relu,2,48,2,128,2,192,2,768,1.95142392936039,2.78619520869711E-05
114,ok,0.4126,759.6854,,,relu,2,64,3,160,3,128,3,384,1.22505097597934,0.000578493467304
115,ok,0.4188,637.719523,,,rrelu,1,48,1,160,1,192,1,256,1.34139347953715,0.001454759022906
116,ok,0.4163,790.573055,,,rrelu,2,80,3,128,3,320,1,384,0.756584437315218,0.00058367888199
117,ok,0.4801,858.767038,,,elu,2,80,2,128,2,384,2,512,0.290602588195078,3.27628209115301E-05
118,ok,0.5322,841.796722,,,rrelu,2,48,2,64,3,320,2,512,1.94706005438094,2.66223326294233E-05
119,ok,0.4965,741.566864,,,elu,2,48,2,96,3,256,1,512,1.64909914876508,0.000521233405096
120,ok,0.5727,692.724288,,,selu,1,32,1,96,3,192,1,512,0.182536974292886,6.86152940814656E-05
121,ok,0.4882,706.509878,,,rrelu,1,64,3,128,1,192,2,384,2.99341025510073,5.98915818064953E-05
122,ok,0.4372,658.78346,,,elu,2,64,2,96,2,128,1,384,1.30535983946263,3.46481231671886E-05
123,ok,0.5043,726.966731,,,relu,1,80,2,160,1,192,1,640,2.35622393913581,6.92398259495829E-05
124,ok,0.5642,692.502537,,,rrelu,2,32,1,128,2,192,2,384,1.54124974464141,6.43130162791543E-05
125,ok,0.4945,999.227145,,,rrelu,3,48,2,128,2,256,3,768,2.34822867776062,0.00027233934884
126,ok,0.4482,636.655128,,,rrelu,2,32,1,64,1,256,2,256,1.83931399102339,0.00015154150426
127,ok,0.4916,823.828702,,,relu,2,80,1,192,3,256,3,384,0.52625110661564,0.000543902296563
128,ok,0.4767,712.728582,,,relu,3,64,2,128,2,256,1,384,1.36322511080647,0.000430519170593
129,ok,0.401,750.513295,,,rrelu,2,64,3,128,3,192,2,384,1.22203530521275,8.62757588634597E-05
130,ok,0.4672,866.366476,,,rrelu,3,80,2,192,3,192,2,640,0.513448168201402,8.47000229000564E-05
131,ok,0.6447,792.562215,,,rrelu,3,32,2,64,3,320,1,512,1.40027526388982,0.000273290946988
132,ok,0.6606,731.819633,,,elu,3,32,1,160,2,256,2,384,0.874072634591031,3.08958397806971E-05
133,ok,0.9,795.425158,,,elu,1,32,2,128,2,320,1,640,2.4792723830334,0.001569674431685
134,ok,0.555,990.906666,,,elu,2,64,2,64,2,256,3,768,0.935229652721594,2.31806668275349E-05
135,ok,0.9,828.857482,,,selu,1,32,3,128,1,192,3,512,1.33132147101258,0.000833134310045
136,ok,0.5523,951.731513,,,rrelu,2,64,1,128,3,320,2,640,0.738983021365305,0.000265874512395
137,ok,0.3938,732.798494,,,elu,3,80,2,96,1,256,2,384,1.24122529183341,0.000532793380771
138,ok,0.5116,880.643462,,,rrelu,2,48,2,96,3,128,3,640,1.17392729509588,0.000547474638525
139,ok,0.9,736.234158,,,selu,2,32,1,64,3,320,2,256,1.44387324688915,2.28704427078883E-05
140,ok,0.405,717.114417,,,relu,3,80,3,96,3,128,2,384,0.277147937546494,7.18057626479901E-05
141,ok,0.45,651.140068,,,rrelu,1,96,3,64,1,192,1,384,0.888869171032775,0.000141621483583
142,ok,0.9,751.200971,,,relu,2,48,3,128,2,192,3,384,2.18810092271906,0.001678995003257
143,ok,0.5758,898.178722,,,relu,2,64,1,128,2,320,3,384,1.3882848031169,0.000105769265019
144,ok,0.4223,690.779163,,,rrelu,1,48,2,160,2,128,3,256,0.950722467675084,7.63489831971252E-05
145,ok,0.4572,748.100323,,,elu,2,96,2,96,2,128,2,512,0.945947837120764,0.001495556571302
146,ok,0.3959,732.369685,,,relu,2,48,2,160,3,192,1,512,1.0049517739964,8.82956330362291E-05
147,ok,0.4788,775.255941,,,elu,3,48,1,96,3,192,2,512,0.349099519226882,0.001781454936818
148,ok,0.605,722.588508,,,relu,1,64,1,64,2,192,3,384,2.42164663802573,0.000181705359145
149,ok,0.4818,644.3815,,,rrelu,1,48,2,64,1,256,2,256,2.72100278229087,0.000494913875516
150,ok,0.4722,891.659312,,,relu,2,64,2,192,2,320,3,512,0.587807220995588,6.21704193572741E-05
151,ok,0.9,677.662699,,,relu,1,48,3,96,2,192,2,256,2.65890809841939,0.001902477841981
152,ok,0.8339,1146.777577,,,relu,2,32,3,96,3,384,3,768,0.92982944594809,0.000280158756917
153,ok,0.4421,705.252117,,,relu,2,80,1,160,2,256,1,384,2.73951368202052,0.000448556845301
154,ok,0.7958,977.498203,,,selu,2,32,2,96,1,384,2,768,0.453364000343262,0.00088610961666
155,ok,0.4126,745.815131,,,elu,3,64,3,192,1,192,2,384,0.543955833607445,6.29664557147675E-05
156,ok,0.6886,789.255126,,,elu,2,32,1,96,3,384,2,256,2.34187693480645,0.00025226980987
157,ok,0.3893,643.775033,,,selu,2,48,1,96,2,192,1,256,2.02475716020346,2.98197075196834E-05
158,ok,0.9,768.507695,,,selu,2,64,2,128,2,320,1,512,2.12798063191542,0.000306897673634
159,ok,0.5378,675.256326,,,elu,2,48,1,64,2,192,3,256,0.520233010680311,0.00071780339826
160,ok,0.9,888.509635,,,selu,2,80,2,96,2,384,3,512,2.67799522069559,0.000585281260843
